Block,Plant,Strain,weight
V,Gc,1075,1.06
W,Gc,1075,0.93
X,Gc,1075,0.27
Y,Gc,1075,1.41
Z,Gc,1075,0.35
A,Gc,1088,NA
B,Gc,1088,NA
C,Gc,1088,0.13
D,Gc,1088,NA
E,Gc,1088,NA
V,Gc,1088,NA
W,Gc,1088,NA
X,Gc,1088,NA
Y,Gc,1088,NA
Z,Gc,1088,NA
A,Gc,1092,0.03
B,Gc,1092,NA
C,Gc,1092,NA
D,Gc,1092,NA
E,Gc,1092,NA
V,Gc,1092,NA
W,Gc,1092,NA
X,Gc,1092,NA
Y,Gc,1092,NA
Z,Gc,1092,0.08
A,Gc,1093,0.39
B,Gc,1093,0.5
C,Gc,1093,0.5
D,Gc,1093,0.33
E,Gc,1093,0.2
V,Gc,1093,0.31
W,Gc,1093,0.5
X,Gc,1093,0.65
Y,Gc,1093,0.35
Z,Gc,1093,0.59
A,Gc,1097,NA
B,Gc,1097,NA
C,Gc,1097,0.17
D,Gc,1097,0.17
E,Gc,1097,NA
V,Gc,1097,NA
W,Gc,1097,0.41
X,Gc,1097,NA
Y,Gc,1097,NA
Z,Gc,1097,0.18
A,Gc,1104,NA
B,Gc,1104,NA
C,Gc,1104,0.3
D,Gc,1104,NA
E,Gc,1104,0.3
V,Gc,1104,NA
W,Gc,1104,NA
X,Gc,1104,0.3
Y,Gc,1104,NA
Z,Gc,1104,NA
A,Gc,1129,0.23
B,Gc,1129,0.38
C,Gc,1129,NA
D,Gc,1129,0.21
E,Gc,1129,1.16
V,Gc,1129,0.36
W,Gc,1129,0.95
X,Gc,1129,0.79
Y,Gc,1129,0.39
Z,Gc,1129,0.28
A,Gc,1144,0.16
B,Gc,1144,0.38
C,Gc,1144,0.34
D,Gc,1144,NA
E,Gc,1144,0.67
V,Gc,1144,0.58
W,Gc,1144,0.49
X,Gc,1144,0.73
Y,Gc,1144,0.24
Z,Gc,1144,0.07
A,Gc,1147,NA
B,Gc,1147,0.2
C,Gc,1147,NA
D,Gc,1147,NA
E,Gc,1147,0.2
V,Gc,1147,0.23
W,Gc,1147,NA
X,Gc,1147,NA
Y,Gc,1147,0.02
Z,Gc,1147,0.17
A,Gc,1152,NA
B,Gc,1152,NA
C,Gc,1152,0.36
D,Gc,1152,0.42
E,Gc,1152,NA
V,Gc,1152,0.19
W,Gc,1152,0.32
X,Gc,1152,NA
Y,Gc,1152,NA
Z,Gc,1152,NA
A,Gc,1153,0.19
B,Gc,1153,0.26
C,Gc,1153,0.17
D,Gc,1153,0.15
E,Gc,1153,NA
V,Gc,1153,NA
W,Gc,1153,NA
X,Gc,1153,NA
Y,Gc,1153,0.18
Z,Gc,1153,0.19
A,Gc,1155,0.75
B,Gc,1155,0.33
C,Gc,1155,0.56
D,Gc,1155,0.2
E,Gc,1155,0.13
V,Gc,1155,NA
W,Gc,1155,NA
X,Gc,1155,NA
Y,Gc,1155,0.4
Z,Gc,1155,0.45
A,Gc,1158,NA
B,Gc,1158,NA
C,Gc,1158,NA
D,Gc,1158,NA
E,Gc,1158,NA
V,Gc,1158,NA
W,Gc,1158,NA
X,Gc,1158,0.11
Y,Gc,1158,NA
Z,Gc,1158,0.01
A,Gc,1160,NA
B,Gc,1160,0.22
C,Gc,1160,0.38
D,Gc,1160,0.39
E,Gc,1160,0.32
V,Gc,1160,0.31
W,Gc,1160,0.14
X,Gc,1160,0.22
Y,Gc,1160,0.27
Z,Gc,1160,0.37
A,Gc,1164,NA
B,Gc,1164,0.13
C,Gc,1164,0.15
D,Gc,1164,NA
E,Gc,1164,0.25
V,Gc,1164,0.08
W,Gc,1164,NA
X,Gc,1164,NA
Y,Gc,1164,0.21
Z,Gc,1164,NA
A,Gc,1169,0.6
B,Gc,1169,NA
C,Gc,1169,NA
D,Gc,1169,0.54
E,Gc,1169,0.52
V,Gc,1169,0.65
W,Gc,1169,0.29
X,Gc,1169,1.29
Y,Gc,1169,0.34
Z,Gc,1169,1.02
A,Gc,1174,NA
B,Gc,1174,0.17
C,Gc,1174,0.38
D,Gc,1174,0.28
E,Gc,1174,0.26
V,Gc,1174,0.31
W,Gc,1174,NA
X,Gc,1174,0.4
Y,Gc,1174,0.21
Z,Gc,1174,0.81
A,Gc,1175,0.2
B,Gc,1175,NA
C,Gc,1175,NA
D,Gc,1175,NA
E,Gc,1175,0.3
V,Gc,1175,0.09
W,Gc,1175,0.17
X,Gc,1175,0.13
Y,Gc,1175,NA
Z,Gc,1175,0.4
A,Gc,1178,NA
B,Gc,1178,NA
C,Gc,1178,0.06
D,Gc,1178,NA
E,Gc,1178,0.01
V,Gc,1178,NA
W,Gc,1178,NA
X,Gc,1178,NA
Y,Gc,1178,NA
Z,Gc,1178,0.05
